ExperimentType,N,Algorithm,MeanTimeMs,StdDevMs
Densidad_10,10,Base,0.010140625,0.003599727365978568
Densidad_10,10,FloydWarshall,0.010831249999999999,0.003828057397362271
Densidad_10,25,Base,0.10929687500000002,0.05834508593475868
Densidad_10,25,FloydWarshall,0.22205000000000003,0.17523887981837818
Densidad_10,50,Base,0.812465625,0.28728612872162723
Densidad_10,50,FloydWarshall,1.7980843749999997,0.46815712513894236
Densidad_10,75,Base,2.7004562500000007,0.8879012937601438
Densidad_10,75,FloydWarshall,6.124296874999999,1.4930008854829038
Densidad_10,100,Base,4.73863125,1.0399720739752762
Densidad_10,100,FloydWarshall,15.268162499999999,2.5680312065800037
Densidad_90,10,Base,0.01741875,0.003509757603809699
Densidad_90,10,FloydWarshall,0.014718750000000006,0.0009312080527465381
Densidad_90,25,Base,0.46998437500000007,0.10228698630988879
Densidad_90,25,FloydWarshall,0.4041125,0.5822126704167043
Densidad_90,50,Base,4.520015625,1.6614041461797786
Densidad_90,50,FloydWarshall,2.2478468749999996,0.6205616246516009
Densidad_90,75,Base,12.705040625,2.511725718487612
Densidad_90,75,FloydWarshall,6.908021874999999,1.5705057761622476
Densidad_90,100,Base,28.254928125000003,4.492121959764282
Densidad_90,100,FloydWarshall,17.65876875,3.839154134656283
Completo,10,Base,0.030215625,0.0076863153304671935
Completo,10,FloydWarshall,0.018556250000000007,0.0008313909654909659
Completo,25,Base,0.4051187500000001,0.13142090168020265
Completo,25,FloydWarshall,0.2733562499999999,0.14714805456049188
Completo,50,Base,4.686906250000001,1.46426797686965
Completo,50,FloydWarshall,1.978725,0.33374878557831483
Completo,75,Base,13.049690624999998,1.9173067877493182
Completo,75,FloydWarshall,6.687665624999999,1.1045448668482685
Completo,100,Base,30.987284375000005,3.706300411133501
Completo,100,FloydWarshall,17.1458,2.342186884089312
Cadena,10,Base,0.002634375,0.0005554330377057165
Cadena,10,FloydWarshall,0.007528125000000001,0.002717562599899954
Cadena,25,Base,0.012262499999999999,0.0025406384532239133
Cadena,25,FloydWarshall,0.074034375,0.002160238611675803
Cadena,50,Base,0.10303750000000002,0.16529037848208225
Cadena,50,FloydWarshall,0.536903125,0.062226800317342165
Cadena,75,Base,0.10440937499999998,0.08729578082364219
Cadena,75,FloydWarshall,2.2355062499999994,1.368375479340717
Cadena,100,Base,0.24693125,0.5063856709795781
Cadena,100,FloydWarshall,4.500459375,1.570572953347634
